Time,Node,Stock,Action,Demand,Delivery,Reward
43,C,2.0,15.0,0.0,0.0,-31.5
44,A,22.0,15.0,9.0,0.0,-847.0
44,B,4.0,0.0,0.0,0.0,-847.0
44,C,2.0,15.0,6.0,0.0,-847.0
45,A,22.0,15.0,0.0,0.0,307.5
45,B,4.0,15.0,0.0,0.0,307.5
45,C,0.0,15.0,0.0,15.0,307.5
46,A,37.0,15.0,0.0,15.0,219.0
46,B,4.0,15.0,0.0,0.0,219.0
46,C,2.0,15.0,13.0,15.0,219.0
47,A,52.0,15.0,0.0,15.0,-926.5
47,B,4.0,0.0,8.0,0.0,-926.5
47,C,11.0,15.0,0.0,15.0,-926.5
48,A,67.0,0.0,0.0,15.0,354.0
48,B,9.0,0.0,0.0,15.0,354.0
48,C,16.0,0.0,10.0,15.0,354.0
49,A,66.0,0.0,16.0,15.0,608.0
49,B,7.0,0.0,0.0,15.0,608.0
49,C,31.0,0.0,0.0,15.0,608.0
50,A,81.0,0.0,0.0,15.0,97.0
50,B,7.0,0.0,0.0,0.0,97.0
50,C,38.0,0.0,8.0,15.0,97.0
51,A,68.0,0.0,13.0,0.0,203.5
51,B,7.0,0.0,0.0,0.0,203.5
51,C,38.0,0.0,0.0,0.0,203.5
52,A,64.0,0.0,4.0,0.0,25.5
52,B,7.0,0.0,0.0,0.0,25.5
52,C,38.0,0.0,0.0,0.0,25.5
