Time,Node,Stock,Action,Demand,Delivery,Reward
1,A,30.0,0.0,0.0,0.0,0.0
1,B,28.0,0.0,0.0,0.0,0.0
1,C,32.0,0.0,0.0,0.0,0.0
2,A,19.0,0.0,11.0,0.0,379.0
2,B,18.0,15.0,10.0,0.0,379.0
2,C,32.0,0.0,0.0,0.0,379.0
3,A,12.0,15.0,7.0,0.0,444.5
3,B,7.0,15.0,11.0,0.0,444.5
3,C,26.0,0.0,6.0,0.0,444.5
4,A,12.0,15.0,0.0,0.0,251.5
4,B,3.0,15.0,4.0,0.0,251.5
4,C,16.0,0.0,10.0,0.0,251.5
5,A,12.0,15.0,0.0,0.0,-42.5
5,B,18.0,15.0,0.0,15.0,-42.5
5,C,16.0,15.0,0.0,0.0,-42.5
6,A,27.0,15.0,0.0,15.0,-57.5
6,B,33.0,15.0,0.0,15.0,-57.5
6,C,16.0,15.0,0.0,0.0,-57.5
7,A,42.0,0.0,0.0,15.0,172.5
7,B,37.0,0.0,11.0,15.0,172.5
7,C,16.0,0.0,0.0,0.0,172.5
8,A,55.0,0.0,2.0,15.0,176.0
8,B,46.0,0.0,6.0,15.0,176.0
8,C,27.0,0.0,4.0,15.0,176.0
9,A,70.0,0.0,0.0,15.0,-86.5
9,B,61.0,0.0,0.0,15.0,-86.5
9,C,42.0,0.0,0.0,15.0,-86.5
10,A,70.0,0.0,0.0,0.0,118.5
10,B,61.0,0.0,0.0,0.0,118.5
10,C,32.0,0.0,10.0,0.0,118.5
11,A,62.0,0.0,8.0,0.0,82.5
11,B,61.0,0.0,0.0,0.0,82.5
11,C,32.0,0.0,0.0,0.0,82.5
12,A,55.0,0.0,7.0,0.0,66.0
12,B,61.0,0.0,0.0,0.0,66.0
12,C,32.0,0.0,0.0,0.0,66.0
13,A,55.0,0.0,0.0,0.0,-74.0
13,B,61.0,0.0,0.0,0.0,-74.0
13,C,32.0,0.0,0.0,0.0,-74.0
14,A,55.0,0.0,0.0,0.0,69.5
14,B,61.0,0.0,0.0,0.0,69.5
14,C,25.0,0.0,7.0,0.0,69.5
15,A,55.0,0.0,0.0,0.0,52.5
15,B,61.0,0.0,0.0,0.0,52.5
15,C,19.0,0.0,6.0,0.0,52.5
16,A,39.0,0.0,16.0,0.0,260.5
16,B,61.0,0.0,0.0,0.0,260.5
16,C,19.0,0.0,0.0,0.0,260.5
17,A,39.0,0.0,0.0,0.0,248.0
17,B,46.0,0.0,15.0,0.0,248.0
17,C,19.0,0.0,0.0,0.0,248.0
18,A,39.0,0.0,0.0,0.0,317.0
18,B,42.0,0.0,4.0,0.0,317.0
18,C,5.0,0.0,14.0,0.0,317.0
19,A,32.0,0.0,7.0,0.0,244.0
19,B,35.0,0.0,7.0,0.0,244.0
19,C,5.0,0.0,0.0,0.0,244.0
20,A,32.0,0.0,0.0,0.0,183.0
20,B,24.0,0.0,11.0,0.0,183.0
20,C,5.0,15.0,0.0,0.0,183.0
21,A,32.0,0.0,0.0,0.0,-43.5
21,B,24.0,15.0,0.0,0.0,-43.5
21,C,5.0,15.0,0.0,0.0,-43.5
22,A,24.0,0.0,8.0,0.0,120.5
22,B,24.0,15.0,0.0,0.0,120.5
22,C,5.0,15.0,0.0,0.0,120.5
23,A,20.0,15.0,4.0,0.0,295.0
23,B,11.0,15.0,13.0,0.0,295.0
23,C,20.0,15.0,0.0,15.0,295.0
24,A,20.0,15.0,0.0,0.0,-53.5
24,B,26.0,15.0,0.0,15.0,-53.5
24,C,35.0,0.0,0.0,15.0,-53.5
25,A,20.0,15.0,0.0,0.0,-68.5
25,B,41.0,15.0,0.0,15.0,-68.5
25,C,50.0,0.0,0.0,15.0,-68.5
26,A,27.0,15.0,8.0,15.0,257.5
26,B,56.0,15.0,0.0,15.0,257.5
26,C,56.0,0.0,9.0,15.0,257.5
27,A,36.0,15.0,6.0,15.0,93.5
27,B,71.0,0.0,0.0,15.0,93.5
27,C,53.0,0.0,3.0,0.0,93.5
28,A,32.0,0.0,19.0,15.0,376.5
28,B,82.0,0.0,4.0,15.0,376.5
28,C,53.0,0.0,0.0,0.0,376.5
29,A,47.0,0.0,0.0,15.0,352.5
29,B,83.0,0.0,14.0,15.0,352.5
29,C,45.0,0.0,8.0,0.0,352.5
30,A,62.0,0.0,0.0,15.0,-95.0
30,B,83.0,0.0,0.0,0.0,-95.0
30,C,45.0,0.0,0.0,0.0,-95.0
31,A,50.0,0.0,12.0,0.0,151.0
31,B,83.0,0.0,0.0,0.0,151.0
31,C,45.0,0.0,0.0,0.0,151.0
32,A,50.0,0.0,0.0,0.0,116.0
32,B,83.0,0.0,0.0,0.0,116.0
32,C,35.0,0.0,10.0,0.0,116.0
33,A,50.0,0.0,0.0,0.0,346.5
33,B,68.0,0.0,15.0,0.0,346.5
33,C,29.0,0.0,6.0,0.0,346.5
34,A,44.0,0.0,6.0,0.0,336.5
34,B,64.0,0.0,4.0,0.0,336.5
34,C,19.0,0.0,10.0,0.0,336.5
35,A,44.0,0.0,0.0,0.0,100.5
35,B,64.0,0.0,0.0,0.0,100.5
35,C,11.0,0.0,8.0,0.0,100.5
