Time,Node,Stock,Action,Demand,Delivery,Reward
1,A,30.0,0.0,0.0,0.0,0.0
1,B,28.0,0.0,0.0,0.0,0.0
1,C,32.0,0.0,0.0,0.0,0.0
2,A,18.0,15.0,12.0,0.0,407.0
2,B,28.0,15.0,0.0,0.0,407.0
2,C,21.0,15.0,11.0,0.0,407.0
3,A,7.0,15.0,11.0,0.0,377.5
3,B,28.0,15.0,0.0,0.0,377.5
3,C,11.0,15.0,10.0,0.0,377.5
4,A,0.0,15.0,7.0,0.0,101.0
4,B,28.0,15.0,0.0,0.0,101.0
4,C,11.0,15.0,0.0,0.0,101.0
5,A,15.0,15.0,0.0,15.0,61.5
5,B,43.0,15.0,0.0,15.0,61.5
5,C,20.0,15.0,6.0,15.0,61.5
6,A,30.0,15.0,0.0,15.0,151.0
6,B,47.0,0.0,11.0,15.0,151.0
6,C,35.0,15.0,0.0,15.0,151.0
7,A,45.0,15.0,0.0,15.0,-91.5
7,B,62.0,0.0,0.0,15.0,-91.5
7,C,50.0,15.0,0.0,15.0,-91.5
8,A,57.0,15.0,3.0,15.0,56.5
8,B,77.0,0.0,0.0,15.0,56.5
8,C,60.0,0.0,5.0,15.0,56.5
9,A,65.0,15.0,7.0,15.0,373.5
9,B,69.0,0.0,8.0,0.0,373.5
9,C,66.0,0.0,9.0,15.0,373.5
10,A,80.0,0.0,0.0,15.0,192.5
10,B,61.0,0.0,8.0,0.0,192.5
10,C,74.0,0.0,7.0,15.0,192.5
11,A,83.0,0.0,12.0,15.0,254.0
11,B,61.0,0.0,0.0,0.0,254.0
11,C,68.0,0.0,6.0,0.0,254.0
12,A,98.0,0.0,0.0,15.0,30.0
12,B,54.0,0.0,7.0,0.0,30.0
12,C,68.0,0.0,0.0,0.0,30.0
13,A,98.0,0.0,0.0,0.0,33.5
13,B,54.0,0.0,0.0,0.0,33.5
13,C,61.0,0.0,7.0,0.0,33.5
14,A,98.0,0.0,0.0,0.0,221.5
14,B,54.0,0.0,0.0,0.0,221.5
14,C,45.0,0.0,16.0,0.0,221.5
15,A,98.0,0.0,0.0,0.0,127.0
15,B,43.0,0.0,11.0,0.0,127.0
15,C,45.0,0.0,0.0,0.0,127.0
16,A,88.0,0.0,10.0,0.0,112.0
16,B,43.0,0.0,0.0,0.0,112.0
16,C,45.0,0.0,0.0,0.0,112.0
17,A,81.0,0.0,7.0,0.0,55.5
17,B,43.0,0.0,0.0,0.0,55.5
17,C,45.0,0.0,0.0,0.0,55.5
18,A,67.0,0.0,14.0,0.0,346.0
18,B,36.0,0.0,7.0,0.0,346.0
18,C,45.0,0.0,0.0,0.0,346.0
19,A,67.0,0.0,0.0,0.0,-74.0
19,B,36.0,0.0,0.0,0.0,-74.0
19,C,45.0,0.0,0.0,0.0,-74.0
20,A,67.0,0.0,0.0,0.0,110.5
20,B,36.0,0.0,0.0,0.0,110.5
20,C,36.0,0.0,9.0,0.0,110.5
21,A,67.0,0.0,0.0,0.0,-69.5
21,B,36.0,0.0,0.0,0.0,-69.5
21,C,36.0,0.0,0.0,0.0,-69.5
22,A,61.0,0.0,6.0,0.0,53.5
22,B,36.0,0.0,0.0,0.0,53.5
22,C,36.0,0.0,0.0,0.0,53.5
23,A,50.0,0.0,11.0,0.0,159.0
23,B,36.0,0.0,0.0,0.0,159.0
23,C,36.0,0.0,0.0,0.0,159.0
24,A,50.0,15.0,0.0,0.0,35.0
24,B,31.0,0.0,5.0,0.0,35.0
24,C,36.0,0.0,0.0,0.0,35.0
25,A,41.0,15.0,9.0,0.0,242.5
25,B,31.0,0.0,0.0,0.0,242.5
25,C,30.0,0.0,6.0,0.0,242.5
26,A,41.0,15.0,0.0,0.0,387.0
26,B,21.0,0.0,10.0,0.0,387.0
26,C,18.0,15.0,12.0,0.0,387.0
27,A,56.0,15.0,0.0,15.0,117.5
27,B,21.0,15.0,0.0,0.0,117.5
27,C,9.0,15.0,9.0,0.0,117.5
28,A,71.0,15.0,0.0,15.0,141.5
28,B,15.0,0.0,6.0,0.0,141.5
28,C,5.0,15.0,4.0,0.0,141.5
29,A,72.0,15.0,14.0,15.0,213.5
29,B,15.0,0.0,0.0,0.0,213.5
29,C,20.0,15.0,0.0,15.0,213.5
30,A,87.0,0.0,0.0,15.0,61.0
30,B,30.0,0.0,0.0,15.0,61.0
30,C,28.0,15.0,7.0,15.0,61.0
31,A,102.0,0.0,0.0,15.0,384.0
31,B,18.0,0.0,12.0,0.0,384.0
31,C,32.0,0.0,11.0,15.0,384.0
32,A,111.0,0.0,6.0,15.0,216.5
32,B,9.0,0.0,9.0,0.0,216.5
32,C,47.0,0.0,0.0,15.0,216.5
33,A,98.0,0.0,13.0,0.0,360.0
33,B,0.0,0.0,9.0,0.0,360.0
33,C,62.0,0.0,0.0,15.0,360.0
34,A,89.0,0.0,9.0,0.0,-676.5
34,B,0.0,15.0,11.0,0.0,-676.5
34,C,51.0,0.0,11.0,0.0,-676.5
35,A,89.0,0.0,0.0,0.0,-1076.5
35,B,0.0,15.0,9.0,0.0,-1076.5
35,C,51.0,0.0,0.0,0.0,-1076.5
36,A,80.0,0.0,9.0,0.0,108.0
