Time,Node,Stock,Action,Demand,Delivery,Reward
44,B,9.0,0.0,11.0,0.0,354.0
44,C,38.0,15.0,10.0,0.0,354.0
45,A,50.0,15.0,9.0,0.0,-744.5
45,B,9.0,15.0,13.0,0.0,-744.5
45,C,31.0,15.0,7.0,0.0,-744.5
46,A,57.0,15.0,8.0,15.0,248.5
46,B,1.0,15.0,8.0,0.0,248.5
46,C,46.0,15.0,0.0,15.0,248.5
47,A,67.0,15.0,5.0,15.0,-717.5
47,B,1.0,15.0,4.0,0.0,-717.5
47,C,48.0,15.0,13.0,15.0,-717.5
48,A,82.0,15.0,0.0,15.0,173.0
48,B,3.0,0.0,0.0,15.0,173.0
48,C,63.0,15.0,0.0,15.0,173.0
49,A,97.0,0.0,0.0,15.0,-14.5
49,B,14.0,0.0,0.0,15.0,-14.5
49,C,78.0,0.0,0.0,15.0,-14.5
50,A,112.0,0.0,0.0,15.0,-117.0
50,B,29.0,0.0,0.0,15.0,-117.0
50,C,93.0,0.0,0.0,15.0,-117.0
51,A,121.0,0.0,6.0,15.0,-9.0
51,B,29.0,0.0,0.0,0.0,-9.0
51,C,108.0,0.0,0.0,15.0,-9.0
52,A,121.0,0.0,0.0,0.0,-6.0
52,B,29.0,0.0,0.0,0.0,-6.0
52,C,102.0,0.0,6.0,0.0,-6.0
