Time,Node,Stock,Action,Demand,Delivery,Reward
44,B,55.0,15.0,0.0,15.0,53.0
44,C,54.0,0.0,0.0,0.0,53.0
45,A,92.0,0.0,0.0,0.0,15.0
45,B,64.0,0.0,6.0,15.0,15.0
45,C,54.0,0.0,0.0,0.0,15.0
46,A,84.0,0.0,8.0,0.0,215.5
46,B,79.0,0.0,0.0,15.0,215.5
46,C,46.0,0.0,8.0,0.0,215.5
47,A,76.0,0.0,8.0,0.0,209.5
47,B,94.0,0.0,0.0,15.0,209.5
47,C,38.0,15.0,8.0,0.0,209.5
48,A,76.0,0.0,0.0,0.0,-8.0
48,B,89.0,0.0,5.0,0.0,-8.0
48,C,38.0,15.0,0.0,0.0,-8.0
49,A,76.0,0.0,0.0,0.0,56.0
49,B,89.0,0.0,0.0,0.0,56.0
49,C,30.0,15.0,8.0,0.0,56.0
50,A,76.0,0.0,0.0,0.0,274.5
50,B,89.0,0.0,0.0,0.0,274.5
50,C,26.0,50.0,19.0,15.0,274.5
51,A,63.0,0.0,13.0,0.0,543.0
51,B,83.0,0.0,6.0,0.0,543.0
51,C,28.0,50.0,13.0,15.0,543.0
52,A,52.0,0.0,11.0,0.0,223.5
52,B,83.0,0.0,0.0,0.0,223.5
52,C,38.0,50.0,5.0,15.0,223.5
