Time,Node,Stock,Action,Demand,Delivery,Reward,Backlog
1,A,30.0,0.0,0.0,0.0,9.0,False
1,B,28.0,0.0,0.0,0.0,9.0,False
1,C,32.0,0.0,0.0,0.0,9.0,False
2,A,30.0,0.0,0.0,0.0,-59.90000057220459,False
2,B,18.0,50.0,10.0,0.0,-59.90000057220459,False
2,C,21.0,25.0,11.0,0.0,-59.90000057220459,False
3,A,30.0,0.0,0.0,0.0,-161.80000114440918,False
3,B,18.0,50.0,0.0,0.0,-161.80000114440918,False
3,C,21.0,25.0,0.0,0.0,-161.80000114440918,False
4,A,30.0,0.0,0.0,0.0,-315.20000171661377,False
4,B,14.0,50.0,4.0,0.0,-315.20000171661377,False
4,C,21.0,25.0,0.0,0.0,-315.20000171661377,False
5,A,30.0,0.0,0.0,0.0,-633.3000030517578,False
5,B,64.0,50.0,0.0,50.0,-633.3000030517578,False
5,C,40.0,25.0,6.0,25.0,-633.3000030517578,False
6,A,30.0,50.0,0.0,0.0,-1275.6000080108643,False
6,B,109.0,0.0,5.0,50.0,-1275.6000080108643,False
6,C,65.0,25.0,0.0,25.0,-1275.6000080108643,False
7,A,30.0,0.0,0.0,0.0,-2568.7000160217285,False
7,B,159.0,50.0,0.0,50.0,-2568.7000160217285,False
7,C,90.0,25.0,0.0,25.0,-2568.7000160217285,False
8,A,30.0,0.0,0.0,0.0,-5049.900032043457,False
8,B,209.0,0.0,0.0,50.0,-5049.900032043457,False
8,C,115.0,0.0,0.0,25.0,-5049.900032043457,False
9,A,73.0,0.0,7.0,50.0,-10152.600063323975,False
9,B,209.0,0.0,0.0,0.0,-10152.600063323975,False
9,C,140.0,50.0,0.0,25.0,-10152.600063323975,False
10,A,67.0,0.0,6.0,0.0,-20289.10012435913,False
10,B,259.0,0.0,0.0,50.0,-20289.10012435913,False
10,C,165.0,25.0,0.0,25.0,-20289.10012435913,False
11,A,67.0,0.0,0.0,0.0,-40596.30025100708,False
11,B,250.0,0.0,9.0,0.0,-40596.30025100708,False
11,C,165.0,50.0,0.0,0.0,-40596.30025100708,False
12,A,62.0,0.0,5.0,0.0,-81205.10050201416,False
12,B,250.0,0.0,0.0,0.0,-81205.10050201416,False
12,C,215.0,50.0,0.0,50.0,-81205.10050201416,False
13,A,62.0,0.0,0.0,0.0,-162468.00100326538,False
13,B,243.0,50.0,7.0,0.0,-162468.00100326538,False
13,C,240.0,50.0,0.0,25.0,-162468.00100326538,False
14,A,62.0,0.0,0.0,0.0,-324936.1020088196,False
14,B,243.0,50.0,0.0,0.0,-324936.1020088196,False
14,C,281.0,50.0,9.0,50.0,-324936.1020088196,False
15,A,56.0,0.0,6.0,0.0,-649874.2040176392,False
15,B,239.0,50.0,4.0,0.0,-649874.2040176392,False
15,C,331.0,50.0,0.0,50.0,-649874.2040176392,False
16,A,49.0,0.0,7.0,0.0,-1299749.0080375671,False
16,B,282.0,50.0,7.0,50.0,-1299749.0080375671,False
16,C,381.0,50.0,0.0,50.0,-1299749.0080375671,False
17,A,49.0,0.0,0.0,0.0,-2599527.6160736084,False
17,B,332.0,50.0,0.0,50.0,-2599527.6160736084,False
17,C,427.0,50.0,4.0,50.0,-2599527.6160736084,False
18,A,49.0,0.0,0.0,0.0,-5199073.232147217,False
18,B,382.0,50.0,0.0,50.0,-5199073.232147217,False
18,C,477.0,50.0,0.0,50.0,-5199073.232147217,False
19,A,44.0,0.0,5.0,0.0,-10398145.964294434,False
