Time,Node,Stock,Action,Demand,Delivery,Reward,Backlog
1,A,30.0,0.0,0.0,0.0,9.0,False
1,B,30.0,0.0,0.0,0.0,9.0,False
1,C,30.0,0.0,0.0,0.0,9.0,False
2,A,22.0,50.0,8.0,0.0,-97.0,False
2,B,18.0,25.0,12.0,0.0,-97.0,False
2,C,30.0,25.0,0.0,0.0,-97.0,False
3,A,22.0,25.0,0.0,0.0,-105.69999980926514,False
3,B,15.0,25.0,3.0,0.0,-105.69999980926514,False
3,C,30.0,25.0,0.0,0.0,-105.69999980926514,False
4,A,22.0,50.0,0.0,0.0,-82.80000019073486,False
4,B,15.0,0.0,0.0,0.0,-82.80000019073486,False
4,C,21.0,25.0,9.0,0.0,-82.80000019073486,False
5,A,72.0,50.0,0.0,50.0,-44.30000114440918,False
5,B,25.0,0.0,15.0,25.0,-44.30000114440918,False
5,C,46.0,0.0,0.0,25.0,-44.30000114440918,False
6,A,97.0,50.0,0.0,25.0,-166.29999923706055,False
6,B,50.0,50.0,0.0,25.0,-166.29999923706055,False
6,C,66.0,25.0,5.0,25.0,-166.29999923706055,False
7,A,144.0,0.0,3.0,50.0,-79.9000015258789,False
7,B,46.0,25.0,4.0,0.0,-79.9000015258789,False
7,C,89.0,25.0,2.0,25.0,-79.9000015258789,False
8,A,186.0,0.0,8.0,50.0,-123.5,False
8,B,40.0,50.0,6.0,0.0,-123.5,False
8,C,89.0,50.0,0.0,0.0,-123.5,False
9,A,228.0,0.0,8.0,50.0,-92.80000305175781,False
9,B,84.0,50.0,6.0,50.0,-92.80000305175781,False
9,C,106.0,25.0,8.0,25.0,-92.80000305175781,False
10,A,228.0,50.0,0.0,0.0,-201.8000030517578,False
10,B,109.0,50.0,0.0,25.0,-201.8000030517578,False
10,C,131.0,25.0,0.0,25.0,-201.8000030517578,False
11,A,228.0,50.0,0.0,0.0,-211.8000030517578,False
11,B,159.0,25.0,0.0,50.0,-211.8000030517578,False
11,C,181.0,50.0,0.0,50.0,-211.8000030517578,False
12,A,220.0,25.0,8.0,0.0,-117.5,False
12,B,209.0,25.0,0.0,50.0,-117.5,False
12,C,206.0,0.0,0.0,25.0,-117.5,False
13,A,270.0,50.0,0.0,50.0,-218.4000015258789,False
13,B,253.0,25.0,6.0,50.0,-218.4000015258789,False
13,C,231.0,50.0,0.0,25.0,-218.4000015258789,False
14,A,320.0,0.0,0.0,50.0,-73.19999694824219,False
14,B,271.0,0.0,7.0,25.0,-73.19999694824219,False
14,C,281.0,0.0,0.0,50.0,-73.19999694824219,False
15,A,345.0,50.0,0.0,25.0,-191.1999969482422,False
15,B,296.0,50.0,0.0,25.0,-191.1999969482422,False
15,C,271.0,0.0,10.0,0.0,-191.1999969482422,False
16,A,390.0,50.0,5.0,50.0,-273.20001220703125,False
16,B,321.0,50.0,0.0,25.0,-273.20001220703125,False
16,C,321.0,50.0,0.0,50.0,-273.20001220703125,False
17,A,390.0,0.0,0.0,0.0,-113.0,False
17,B,313.0,0.0,8.0,0.0,-113.0,False
17,C,317.0,25.0,4.0,0.0,-113.0,False
18,A,440.0,0.0,0.0,50.0,-232.0,False
18,B,363.0,50.0,0.0,50.0,-232.0,False
18,C,317.0,50.0,0.0,0.0,-232.0,False
19,A,490.0,25.0,0.0,50.0,-203.10000610351562,False
19,B,404.0,50.0,9.0,50.0,-203.10000610351562,False
19,C,367.0,0.0,0.0,50.0,-203.10000610351562,False
20,A,490.0,50.0,0.0,0.0,-240.1999969482422,False
20,B,400.0,0.0,4.0,0.0,-240.1999969482422,False
20,C,392.0,50.0,0.0,25.0,-240.1999969482422,False
21,A,490.0,25.0,0.0,0.0,-259.8000030517578,False
21,B,450.0,25.0,0.0,50.0,-259.8000030517578,False
21,C,438.0,50.0,4.0,50.0,-259.8000030517578,False
22,A,515.0,25.0,0.0,25.0,-229.8000030517578,False
22,B,500.0,50.0,0.0,50.0,-229.8000030517578,False
22,C,433.0,0.0,5.0,0.0,-229.8000030517578,False
23,A,565.0,25.0,0.0,50.0,-189.8000030517578,False
23,B,500.0,0.0,0.0,0.0,-189.8000030517578,False
23,C,483.0,0.0,0.0,50.0,-189.8000030517578,False
24,A,590.0,50.0,0.0,25.0,-319.8000030517578,False
24,B,525.0,50.0,0.0,25.0,-319.8000030517578,False
24,C,533.0,25.0,0.0,50.0,-319.8000030517578,False
25,A,611.0,25.0,4.0,25.0,-268.90000915527344,False
25,B,575.0,25.0,0.0,50.0,-268.90000915527344,False
25,C,533.0,25.0,0.0,0.0,-268.90000915527344,False
