Time,Node,Stock,Action,Demand,Delivery,Reward,Backlog
1,A,30.0,0.0,0.0,0.0,9.0,False
1,B,28.0,0.0,0.0,0.0,9.0,False
1,C,32.0,0.0,0.0,0.0,9.0,False
2,A,24.0,0.0,6.0,0.0,3.6000003814697266,False
2,B,28.0,0.0,0.0,0.0,3.6000003814697266,False
2,C,32.0,0.0,0.0,0.0,3.6000003814697266,False
3,A,22.0,0.0,2.0,0.0,2.0999999046325684,False
3,B,28.0,0.0,0.0,0.0,2.0999999046325684,False
3,C,29.0,0.0,3.0,0.0,2.0999999046325684,False
4,A,22.0,0.0,0.0,0.0,21.5,False
4,B,23.0,0.0,5.0,0.0,21.5,False
4,C,20.0,0.0,9.0,0.0,21.5,False
5,A,14.0,0.0,8.0,0.0,10.300000190734863,False
5,B,23.0,0.0,0.0,0.0,10.300000190734863,False
5,C,20.0,0.0,0.0,0.0,10.300000190734863,False
6,A,14.0,0.0,0.0,0.0,-5.699999809265137,False
6,B,23.0,0.0,0.0,0.0,-5.699999809265137,False
6,C,20.0,0.0,0.0,0.0,-5.699999809265137,False
7,A,14.0,0.0,0.0,0.0,9.0,False
7,B,16.0,0.0,7.0,0.0,9.0,False
7,C,20.0,0.0,0.0,0.0,9.0,False
8,A,10.0,0.0,4.0,0.0,13.900000095367432,False
8,B,11.0,0.0,5.0,0.0,13.900000095367432,False
8,C,20.0,0.0,0.0,0.0,13.900000095367432,False
9,A,10.0,0.0,0.0,0.0,8.5,False
9,B,5.0,0.0,6.0,0.0,8.5,False
9,C,20.0,0.0,0.0,0.0,8.5,False
10,A,4.0,0.0,6.0,0.0,-5969.899999976158,False
10,B,0.0,0.0,8.0,0.0,-5969.899999976158,True
10,C,15.0,0.0,5.0,0.0,-5969.899999976158,False
11,A,0.0,20.0,5.0,0.0,-12015.100000023842,True
11,B,0.0,0.0,5.0,0.0,-12015.100000023842,True
11,C,11.0,0.0,4.0,0.0,-12015.100000023842,False
12,A,0.0,20.0,7.0,0.0,-14031.100000023842,True
12,B,0.0,0.0,0.0,0.0,-14031.100000023842,True
12,C,11.0,0.0,0.0,0.0,-14031.100000023842,False
13,A,0.0,20.0,7.0,0.0,-14031.100000023842,True
13,B,0.0,0.0,0.0,0.0,-14031.100000023842,True
13,C,11.0,0.0,0.0,0.0,-14031.100000023842,False
14,A,2.0,20.0,3.0,20.0,4.699999928474426,False
14,B,0.0,0.0,0.0,0.0,4.699999928474426,True
14,C,11.0,0.0,0.0,0.0,4.699999928474426,False
15,A,20.0,20.0,2.0,20.0,-29.09999990463257,False
15,B,0.0,0.0,0.0,0.0,-29.09999990463257,True
15,C,11.0,0.0,0.0,0.0,-29.09999990463257,False
16,A,40.0,0.0,0.0,20.0,-8005.099999904633,False
16,B,0.0,0.0,4.0,0.0,-8005.099999904633,True
16,C,11.0,0.0,0.0,0.0,-8005.099999904633,False
17,A,60.0,0.0,0.0,20.0,-7.099999904632568,False
17,B,0.0,0.0,0.0,0.0,-7.099999904632568,True
17,C,11.0,0.0,0.0,0.0,-7.099999904632568,False
18,A,80.0,0.0,0.0,20.0,-8009.10000038147,False
18,B,0.0,0.0,4.0,0.0,-8009.10000038147,True
18,C,11.0,0.0,0.0,0.0,-8009.10000038147,False
19,A,79.0,0.0,1.0,0.0,-12007.0,False
19,B,0.0,0.0,6.0,0.0,-12007.0,True
19,C,11.0,0.0,0.0,0.0,-12007.0,False
20,A,79.0,0.0,0.0,0.0,-2009.0,False
