Time,Node,Stock,Action,Demand,Delivery,Reward
44,B,94.0,0.0,0.0,0.0,350.95
44,C,1.0,0.0,8.0,0.0,350.95
45,A,75.0,0.0,11.0,0.0,206.35
45,B,94.0,0.0,0.0,0.0,206.35
45,C,1.0,15.0,0.0,0.0,206.35
46,A,75.0,50.0,0.0,0.0,-19.5
46,B,94.0,0.0,0.0,0.0,-19.5
46,C,1.0,50.0,0.0,0.0,-19.5
47,A,64.0,50.0,11.0,0.0,-658.6
47,B,87.0,0.0,7.0,0.0,-658.6
47,C,1.0,50.0,20.0,0.0,-658.6
48,A,61.0,50.0,3.0,0.0,155.95
48,B,87.0,15.0,0.0,0.0,155.95
48,C,10.0,50.0,6.0,15.0,155.95
49,A,100.0,50.0,11.0,50.0,1093.75
49,B,76.0,15.0,11.0,0.0,1093.75
49,C,26.0,50.0,0.0,50.0,1093.75
50,A,150.0,0.0,0.0,50.0,-15.100000000000001
50,B,76.0,0.0,0.0,0.0,-15.100000000000001
50,C,76.0,0.0,0.0,50.0,-15.100000000000001
51,A,193.0,0.0,7.0,50.0,199.7
51,B,91.0,0.0,0.0,15.0,199.7
51,C,122.0,0.0,4.0,50.0,199.7
52,A,232.0,0.0,11.0,50.0,194.5
52,B,106.0,0.0,0.0,15.0,194.5
52,C,172.0,0.0,0.0,50.0,194.5
