Time,Node,Stock,Action,Demand,Delivery,Reward,Backlog
1,A,30.0,0.0,0.0,0.0,9.0,False
1,B,30.0,0.0,0.0,0.0,9.0,False
1,C,30.0,0.0,0.0,0.0,9.0,False
2,A,30.0,0.0,0.0,0.0,-9.0,False
2,B,30.0,0.0,0.0,0.0,-9.0,False
2,C,30.0,0.0,0.0,0.0,-9.0,False
3,A,30.0,0.0,0.0,0.0,9.899999618530273,False
3,B,30.0,0.0,0.0,0.0,9.899999618530273,False
3,C,21.0,0.0,9.0,0.0,9.899999618530273,False
4,A,22.0,0.0,8.0,0.0,46.5,False
4,B,20.0,0.0,10.0,0.0,46.5,False
4,C,13.0,0.0,8.0,0.0,46.5,False
5,A,22.0,0.0,0.0,0.0,5.0,False
5,B,20.0,0.0,0.0,0.0,5.0,False
5,C,8.0,0.0,5.0,0.0,5.0,False
6,A,22.0,0.0,0.0,0.0,-5.0,False
6,B,20.0,0.0,0.0,0.0,-5.0,False
6,C,8.0,0.0,0.0,0.0,-5.0,False
7,A,10.0,0.0,12.0,0.0,34.89999985694885,False
7,B,13.0,0.0,7.0,0.0,34.89999985694885,False
7,C,8.0,0.0,0.0,0.0,34.89999985694885,False
8,A,10.0,0.0,0.0,0.0,-3.1000001430511475,False
8,B,13.0,0.0,0.0,0.0,-3.1000001430511475,False
8,C,8.0,0.0,0.0,0.0,-3.1000001430511475,False
9,A,10.0,0.0,0.0,0.0,11.599999904632568,False
9,B,13.0,0.0,0.0,0.0,11.599999904632568,False
9,C,1.0,0.0,7.0,0.0,11.599999904632568,False
10,A,4.0,0.0,6.0,0.0,-9987.800000071526,False
10,B,13.0,0.0,0.0,0.0,-9987.800000071526,False
10,C,1.0,0.0,6.0,0.0,-9987.800000071526,True
11,A,4.0,0.0,12.0,0.0,-15983.300000071526,True
11,B,8.0,0.0,5.0,0.0,-15983.300000071526,False
11,C,1.0,0.0,0.0,0.0,-15983.300000071526,True
12,A,4.0,0.0,12.0,0.0,-15993.300000071526,True
12,B,8.0,0.0,0.0,0.0,-15993.300000071526,False
12,C,1.0,0.0,0.0,0.0,-15993.300000071526,True
13,A,4.0,0.0,9.0,0.0,-9993.300000071526,True
13,B,8.0,0.0,0.0,0.0,-9993.300000071526,False
13,C,1.0,0.0,0.0,0.0,-9993.300000071526,True
14,A,4.0,0.0,6.0,0.0,-11991.300000071526,True
14,B,8.0,0.0,0.0,0.0,-11991.300000071526,False
14,C,1.0,0.0,5.0,0.0,-11991.300000071526,True
15,A,4.0,0.0,0.0,0.0,-1.3000000715255737,True
15,B,8.0,0.0,0.0,0.0,-1.3000000715255737,False
15,C,1.0,0.0,0.0,0.0,-1.3000000715255737,True
16,A,4.0,0.0,5.0,0.0,-17991.300000071526,True
16,B,8.0,0.0,0.0,0.0,-17991.300000071526,False
16,C,1.0,0.0,9.0,0.0,-17991.300000071526,True
17,A,4.0,0.0,11.0,0.0,-31991.300000071526,True
17,B,8.0,0.0,0.0,0.0,-31991.300000071526,False
17,C,1.0,0.0,10.0,0.0,-31991.300000071526,True
18,A,4.0,0.0,0.0,0.0,-1.3000000715255737,True
18,B,8.0,0.0,0.0,0.0,-1.3000000715255737,False
18,C,1.0,0.0,0.0,0.0,-1.3000000715255737,True
19,A,4.0,0.0,7.0,0.0,-5993.300000071526,True
19,B,8.0,0.0,0.0,0.0,-5993.300000071526,False
19,C,1.0,0.0,0.0,0.0,-5993.300000071526,True
20,A,4.0,0.0,0.0,0.0,15.5,True
20,B,0.0,0.0,8.0,0.0,15.5,False
20,C,1.0,0.0,0.0,0.0,15.5,True
21,A,0.0,0.0,4.0,0.0,7.899999998509884,True
21,B,0.0,0.0,0.0,0.0,7.899999998509884,False
21,C,1.0,0.0,0.0,0.0,7.899999998509884,True
22,A,0.0,0.0,11.0,0.0,-51998.10000000149,True
22,B,0.0,0.0,4.0,0.0,-51998.10000000149,True
22,C,1.0,0.0,12.0,0.0,-51998.10000000149,True
23,A,0.0,0.0,9.0,0.0,-36000.10000000149,True
23,B,0.0,0.0,9.0,0.0,-36000.10000000149,True
23,C,1.0,0.0,0.0,0.0,-36000.10000000149,True
24,A,0.0,0.0,0.0,0.0,-8000.10000000149,True
24,B,0.0,0.0,4.0,0.0,-8000.10000000149,True
24,C,1.0,0.0,0.0,0.0,-8000.10000000149,True
25,A,0.0,0.0,1.0,0.0,-20000.10000000149,True
25,B,0.0,0.0,9.0,0.0,-20000.10000000149,True
25,C,1.0,0.0,0.0,0.0,-20000.10000000149,True
26,A,0.0,0.0,5.0,0.0,-22000.10000000149,True
